protein_A,protein_B,label
852665_reviewed_mutant_68,852582_reviewed,0
852665_reviewed_mutant_69,854933_reviewed,0
853098_reviewed,854322_reviewed_mutant_70,0
853098_reviewed,852888_reviewed,1
853098_reviewed_mutant_71,852888_reviewed,0
851882_reviewed,850693_reviewed,1
851882_reviewed,851453_reviewed,1
851882_reviewed,851453_reviewed_mutant_76,0
851882_reviewed,851099_reviewed,1
851882_reviewed,851099_reviewed_mutant_77,0
851882_reviewed,854123_reviewed,1
851882_reviewed,854123_reviewed_mutant_78,0
851969_reviewed,851893_reviewed,1
851969_reviewed,851893_reviewed_mutant_79,0
851969_reviewed,853419_reviewed,1
851969_reviewed_mutant_80,853419_reviewed,0
851969_reviewed,854487_reviewed,1
851969_reviewed_mutant_81,854487_reviewed,0
851969_reviewed,853048_reviewed,1
850553_reviewed,856870_reviewed,1
850553_reviewed,853641_reviewed,1
850553_reviewed_mutant_84,853641_reviewed,0
852885_reviewed,853364_reviewed,1
852885_reviewed,853364_reviewed_mutant_85,0
852885_reviewed,854418_reviewed,1
852885_reviewed_mutant_86,854418_reviewed,0
852885_reviewed,851771_reviewed,1
852885_reviewed_mutant_87,851771_reviewed,0
852885_reviewed,855841_reviewed,1
852885_reviewed_mutant_88,855841_reviewed,0
852885_reviewed,851962_reviewed,1
852885_reviewed_mutant_89,851962_reviewed,0
852885_reviewed,855616_reviewed,1
852885_reviewed_mutant_90,855616_reviewed,0
852885_reviewed,856696_reviewed,1
852885_reviewed,856490_reviewed,1
852885_reviewed,856490_reviewed_mutant_92,0
856463_reviewed,850982_reviewed,1
856463_reviewed,850982_reviewed_mutant_93,0
856463_reviewed,850652_reviewed,1
856463_reviewed_mutant_94,850652_reviewed,0
856463_reviewed,853682_reviewed,1
856463_reviewed,853682_reviewed_mutant_95,0
856463_reviewed,855335_reviewed,1
856463_reviewed,855890_reviewed,1
856463_reviewed,856012_reviewed_mutant_99,0
856463_reviewed,855664_reviewed,1
856463_reviewed,855664_reviewed_mutant_100,0
856463_reviewed,856063_reviewed,1
856463_reviewed_mutant_101,856063_reviewed,0
856463_reviewed,852767_reviewed,1
856463_reviewed,852767_reviewed_mutant_103,0
856463_reviewed,856488_reviewed,1
856463_reviewed,856488_reviewed_mutant_104,0
856463_reviewed,853956_reviewed,1
856463_reviewed,853956_reviewed_mutant_105,0
856463_reviewed,855730_reviewed,1
856463_reviewed_mutant_106,855730_reviewed,0
856463_reviewed,851660_reviewed,1
856463_reviewed_mutant_107,851660_reviewed,0
856463_reviewed,856126_reviewed,1
856463_reviewed_mutant_108,856126_reviewed,0
856485_reviewed,856604_reviewed_mutant_111,0
853445_reviewed,853064_reviewed,1
853469_reviewed_mutant_113,851720_reviewed,0
853774_reviewed,853946_reviewed_mutant_114,0
853774_reviewed,854220_reviewed,1
853954_reviewed,855125_reviewed_mutant_117,0
850837_reviewed_mutant_121,852560_reviewed,0
850837_reviewed_mutant_122,851200_reviewed,0
850837_reviewed_mutant_125,852089_reviewed,0
851143_reviewed,855253_reviewed,1
851143_reviewed,855253_reviewed_mutant_126,0
851143_reviewed,850808_reviewed,1
851143_reviewed_mutant_127,850808_reviewed,0
851143_reviewed,852749_reviewed,1
851143_reviewed,852749_reviewed_mutant_128,0
851143_reviewed,852757_reviewed,1
851143_reviewed_mutant_129,852757_reviewed,0
851143_reviewed,851201_reviewed,1
851143_reviewed_mutant_130,851201_reviewed,0
851143_reviewed,855952_reviewed,1
851143_reviewed_mutant_131,855952_reviewed,0
851143_reviewed,856216_reviewed,1
851143_reviewed,856216_reviewed_mutant_133,0
851143_reviewed,853681_reviewed,1
851143_reviewed_mutant_134,853681_reviewed,0
851143_reviewed,853892_reviewed,1
851143_reviewed_mutant_136,853892_reviewed,0
854985_reviewed_mutant_137,856760_reviewed,0
853056_reviewed,850930_reviewed,1
853056_reviewed_mutant_140,850930_reviewed,0
856723_reviewed,854381_reviewed,1
856723_reviewed,854381_reviewed_mutant_141,0
856723_reviewed,850688_reviewed,1
856723_reviewed_mutant_142,850688_reviewed,0
853271_reviewed,854322_reviewed_mutant_144,0
854123_reviewed,856771_reviewed,1
854123_reviewed_mutant_145,856771_reviewed,0
856463_reviewed,853780_reviewed,1
856463_reviewed,853780_reviewed_mutant_148,0
853029_reviewed,855977_reviewed,1
853029_reviewed,855977_reviewed_mutant_151,0
853029_reviewed,851924_reviewed,1
853029_reviewed_mutant_152,851924_reviewed,0
853029_reviewed,856603_reviewed,1
853029_reviewed,856603_reviewed_mutant_153,0
856603_reviewed,855977_reviewed,1
856603_reviewed,855977_reviewed_mutant_155,0
856603_reviewed,851924_reviewed,1
856603_reviewed_mutant_157,851924_reviewed,0
851125_reviewed,850820_reviewed,1
851125_reviewed,850820_reviewed_mutant_158,0
851125_reviewed,850422_reviewed,1
851125_reviewed,850919_reviewed,1
851125_reviewed_mutant_160,850919_reviewed,0
851125_reviewed,853376_reviewed,1
851125_reviewed_mutant_161,853376_reviewed,0
853376_reviewed,850820_reviewed,1
853376_reviewed,850422_reviewed,1
853376_reviewed,850422_reviewed_mutant_164,0
853376_reviewed,850919_reviewed,1
853376_reviewed_mutant_165,850919_reviewed,0
850919_reviewed,850820_reviewed,1
850919_reviewed,850820_reviewed_mutant_167,0
850919_reviewed,850422_reviewed,1
850919_reviewed,852060_reviewed_mutant_169,0
852982_reviewed,850326_reviewed,1
852982_reviewed_mutant_170,850326_reviewed,0
852982_reviewed,854776_reviewed,1
852982_reviewed_mutant_171,854776_reviewed,0
852982_reviewed,852865_reviewed,1
852982_reviewed,852865_reviewed_mutant_173,0
852982_reviewed,854204_reviewed,1
852982_reviewed,854204_reviewed_mutant_174,0
852995_reviewed_mutant_181,853682_reviewed,0
852995_reviewed_mutant_183,851660_reviewed,0
852995_reviewed_mutant_186,850551_reviewed,0
852995_reviewed_mutant_188,855613_reviewed,0
853181_reviewed,852773_reviewed,1
853181_reviewed,852773_reviewed_mutant_193,0
853181_reviewed,852606_reviewed,1
853181_reviewed_mutant_194,852606_reviewed,0
853071_reviewed,852606_reviewed,1
853071_reviewed,852606_reviewed_mutant_195,0
854487_reviewed,853064_reviewed,1
854487_reviewed_mutant_196,853064_reviewed,0
853064_reviewed,853064_reviewed,1
853064_reviewed,853064_reviewed_mutant_197,0
856489_reviewed,850872_reviewed,1
856489_reviewed_mutant_200,850872_reviewed,0
856489_reviewed,856489_reviewed,1
856489_reviewed,851319_reviewed,1
856489_reviewed_mutant_202,851319_reviewed,0
856489_reviewed,851313_reviewed,1
856489_reviewed_mutant_203,851313_reviewed,0
854487_reviewed,850872_reviewed,1
853064_reviewed,850872_reviewed,1
853064_reviewed,850872_reviewed_mutant_205,0
853200_reviewed,850872_reviewed,1
853200_reviewed,850872_reviewed_mutant_206,0
854487_reviewed,854487_reviewed,1
854487_reviewed_mutant_207,854487_reviewed,0
854487_reviewed,855841_reviewed,1
854487_reviewed,855841_reviewed_mutant_208,0
856746_reviewed,851196_reviewed,1
856746_reviewed_mutant_210,851196_reviewed,0
851632_reviewed,851632_reviewed,1
851632_reviewed_mutant_211,851632_reviewed,0
854381_reviewed,851632_reviewed,1
854381_reviewed,851632_reviewed_mutant_212,0
853397_reviewed,851379_reviewed,1
853397_reviewed_mutant_214,851379_reviewed,0
853397_reviewed,854034_reviewed,1
853397_reviewed_mutant_215,854034_reviewed,0
854162_reviewed,853397_reviewed,1
854162_reviewed,853397_reviewed_mutant_216,0
854381_reviewed,854381_reviewed,1
854381_reviewed,854381_reviewed_mutant_218,0
854381_reviewed,850688_reviewed,1
854381_reviewed,850688_reviewed_mutant_219,0
853347_reviewed,851513_reviewed,1
853347_reviewed,851513_reviewed_mutant_220,0
850440_reviewed,850440_reviewed,1
852084_reviewed,853681_reviewed,1
852084_reviewed,853681_reviewed_mutant_226,0
853419_reviewed,851548_reviewed,1
854487_reviewed,851548_reviewed,1
854487_reviewed,851548_reviewed_mutant_228,0
854487_reviewed,854379_reviewed,1
854487_reviewed,854379_reviewed_mutant_229,0
852039_reviewed,854379_reviewed,1
852039_reviewed_mutant_230,854379_reviewed,0
853071_reviewed,854379_reviewed,1
853071_reviewed,854379_reviewed_mutant_231,0
853419_reviewed,856912_reviewed,1
853419_reviewed_mutant_232,856912_reviewed,0
854487_reviewed,856912_reviewed,1
853071_reviewed,856912_reviewed,1
853071_reviewed_mutant_234,856912_reviewed,0
853071_reviewed,854026_reviewed,1
853071_reviewed_mutant_235,854026_reviewed,0
852042_reviewed,852042_reviewed,1
852042_reviewed,852042_reviewed_mutant_237,0
854487_reviewed,856255_reviewed,1
854487_reviewed,856255_reviewed_mutant_238,0
854138_reviewed_mutant_240,856466_reviewed,0
854138_reviewed_mutant_242,851447_reviewed,0
854138_reviewed_mutant_243,851874_reviewed,0
854138_reviewed_mutant_245,854162_reviewed,0
854138_reviewed_mutant_247,854243_reviewed,0
856481_reviewed,855489_reviewed,1
856481_reviewed_mutant_248,855489_reviewed,0
856481_reviewed,854138_reviewed_mutant_249,0
856481_reviewed,856481_reviewed,1
856481_reviewed,856481_reviewed_mutant_250,0
856481_reviewed,856466_reviewed,1
856481_reviewed,851874_reviewed,1
856481_reviewed_mutant_253,851874_reviewed,0
856481_reviewed,852987_reviewed,1
856481_reviewed_mutant_254,852987_reviewed,0
856481_reviewed,854162_reviewed,1
856481_reviewed,854162_reviewed_mutant_255,0
851874_reviewed,855489_reviewed,1
851874_reviewed,856466_reviewed,1
851874_reviewed_mutant_257,856466_reviewed,0
851874_reviewed,854023_reviewed,1
851874_reviewed_mutant_258,854023_reviewed,0
851874_reviewed,850401_reviewed_mutant_259,0
851874_reviewed,852987_reviewed,1
851874_reviewed,852987_reviewed_mutant_260,0
851874_reviewed,854162_reviewed,1
851874_reviewed,854162_reviewed_mutant_261,0
851874_reviewed,853109_reviewed,1
851874_reviewed_mutant_262,853109_reviewed,0
852987_reviewed,855489_reviewed,1
852987_reviewed_mutant_263,855489_reviewed,0
852987_reviewed,856466_reviewed,1
852987_reviewed_mutant_264,856466_reviewed,0
852987_reviewed,854023_reviewed,1
852987_reviewed_mutant_265,854023_reviewed,0
852987_reviewed,851447_reviewed,1
852987_reviewed,852987_reviewed,1
852987_reviewed,854162_reviewed,1
852987_reviewed_mutant_269,854162_reviewed,0
852987_reviewed,853109_reviewed,1
852987_reviewed,854243_reviewed,1
852987_reviewed,854243_reviewed_mutant_271,0
854162_reviewed,855489_reviewed,1
854162_reviewed_mutant_272,855489_reviewed,0
854162_reviewed,856466_reviewed,1
854162_reviewed_mutant_273,856466_reviewed,0
854162_reviewed,854023_reviewed,1
854162_reviewed_mutant_274,854023_reviewed,0
854162_reviewed,851447_reviewed,1
854162_reviewed,851447_reviewed_mutant_275,0
854162_reviewed,854162_reviewed,1
854162_reviewed,854162_reviewed_mutant_277,0
854162_reviewed,853109_reviewed,1
854162_reviewed_mutant_278,853109_reviewed,0
853442_reviewed,854382_reviewed,1
853442_reviewed_mutant_279,854382_reviewed,0
853442_reviewed,853713_reviewed_mutant_280,0
853442_reviewed,855737_reviewed,1
853442_reviewed,855737_reviewed_mutant_281,0
853442_reviewed,856320_reviewed,1
853442_reviewed_mutant_282,856320_reviewed,0
853442_reviewed,854283_reviewed,1
853442_reviewed,854283_reviewed_mutant_283,0
853713_reviewed_mutant_285,855737_reviewed,0
855737_reviewed,855571_reviewed,1
855737_reviewed,855571_reviewed_mutant_290,0
855737_reviewed,856320_reviewed,1
855737_reviewed,856320_reviewed_mutant_291,0
855737_reviewed,854283_reviewed,1
855737_reviewed_mutant_292,854283_reviewed,0
856226_reviewed,854382_reviewed,1
856226_reviewed,854382_reviewed_mutant_293,0
854283_reviewed,854382_reviewed,1
854283_reviewed_mutant_294,854382_reviewed,0
854283_reviewed,856320_reviewed,1
854283_reviewed,856320_reviewed_mutant_296,0
855473_reviewed,852451_reviewed,1
855473_reviewed_mutant_297,852451_reviewed,0
854791_reviewed,854791_reviewed,1
854791_reviewed_mutant_300,854791_reviewed,0
854791_reviewed,853301_reviewed,1
854791_reviewed,853301_reviewed_mutant_301,0
854791_reviewed,852451_reviewed,1
854791_reviewed,852451_reviewed_mutant_302,0
854791_reviewed,852013_reviewed,1
852451_reviewed,854322_reviewed_mutant_305,0
852451_reviewed,853301_reviewed,1
852451_reviewed_mutant_306,853301_reviewed,0
852451_reviewed,853098_reviewed,1
852451_reviewed_mutant_309,853098_reviewed,0
852451_reviewed,852888_reviewed,1
853713_reviewed_mutant_311,852451_reviewed,0
856226_reviewed,852451_reviewed,1
856226_reviewed_mutant_313,852451_reviewed,0
856226_reviewed,856317_reviewed_mutant_314,0
853098_reviewed,854791_reviewed,1
853098_reviewed,854791_reviewed_mutant_315,0
854487_reviewed,855473_reviewed,1
854487_reviewed_mutant_316,855473_reviewed,0
853293_reviewed,853293_reviewed,1
853293_reviewed_mutant_318,853293_reviewed,0
853293_reviewed,854518_reviewed_mutant_319,0
853293_reviewed,855473_reviewed,1
855473_reviewed,855473_reviewed,1
855473_reviewed,855473_reviewed_mutant_323,0
855473_reviewed,856226_reviewed,1
855473_reviewed,856226_reviewed_mutant_324,0
852451_reviewed,856119_reviewed_mutant_325,0
853442_reviewed,856226_reviewed,1
853442_reviewed,856226_reviewed_mutant_327,0
853713_reviewed_mutant_328,856226_reviewed,0
854283_reviewed,856226_reviewed,1
854283_reviewed,856226_reviewed_mutant_331,0
855161_reviewed,854229_reviewed,1
855161_reviewed_mutant_332,854229_reviewed,0
855925_reviewed,855155_reviewed,1
855925_reviewed_mutant_333,855155_reviewed,0
851968_reviewed,855925_reviewed,1
851968_reviewed,855925_reviewed_mutant_334,0
855155_reviewed,855155_reviewed,1
855155_reviewed,855155_reviewed_mutant_335,0
854940_reviewed,854940_reviewed,1
854940_reviewed,856572_reviewed,1
854940_reviewed_mutant_343,856572_reviewed,0
856572_reviewed,856572_reviewed,1
856572_reviewed,856572_reviewed_mutant_345,0
856572_reviewed,855468_reviewed_mutant_346,0
855116_reviewed,855049_reviewed,1
855116_reviewed,851071_reviewed,1
855116_reviewed,851897_reviewed,1
855116_reviewed,851897_reviewed_mutant_350,0
855116_reviewed,853877_reviewed,1
855116_reviewed,853877_reviewed_mutant_351,0
855116_reviewed,850720_reviewed,1
855116_reviewed,850720_reviewed_mutant_352,0
855116_reviewed,850419_reviewed,1
855116_reviewed,850598_reviewed,1
855116_reviewed,850598_reviewed_mutant_354,0
855116_reviewed,854912_reviewed,1
855116_reviewed,854912_reviewed_mutant_355,0
855116_reviewed,851032_reviewed,1
855116_reviewed,851032_reviewed_mutant_356,0
855116_reviewed,854680_reviewed,1
855116_reviewed,854680_reviewed_mutant_357,0
851071_reviewed,855049_reviewed,1
851071_reviewed,855049_reviewed_mutant_359,0
851071_reviewed,850720_reviewed,1
851071_reviewed,850419_reviewed,1
851071_reviewed_mutant_361,850419_reviewed,0
851071_reviewed,850598_reviewed,1
851071_reviewed,850598_reviewed_mutant_362,0
851071_reviewed,854680_reviewed,1
851897_reviewed,855049_reviewed,1
851897_reviewed_mutant_365,855049_reviewed,0
851897_reviewed,851071_reviewed,1
851897_reviewed,851071_reviewed_mutant_366,0
851897_reviewed,853877_reviewed,1
851897_reviewed_mutant_367,853877_reviewed,0
851897_reviewed,850720_reviewed,1
851897_reviewed_mutant_368,850720_reviewed,0
851897_reviewed,850419_reviewed,1
851897_reviewed,850419_reviewed_mutant_369,0
851897_reviewed,850598_reviewed,1
851897_reviewed,850598_reviewed_mutant_370,0
851897_reviewed,854912_reviewed,1
851897_reviewed,854680_reviewed,1
851897_reviewed,854680_reviewed_mutant_372,0
853877_reviewed,855049_reviewed,1
853877_reviewed_mutant_374,855049_reviewed,0
853877_reviewed,851071_reviewed,1
853877_reviewed_mutant_375,851071_reviewed,0
853877_reviewed,853877_reviewed,1
853877_reviewed_mutant_376,853877_reviewed,0
853877_reviewed,850720_reviewed,1
853877_reviewed_mutant_377,850720_reviewed,0
853877_reviewed,850419_reviewed,1
853877_reviewed,850419_reviewed_mutant_378,0
853877_reviewed,854912_reviewed,1
853877_reviewed_mutant_379,854912_reviewed,0
853877_reviewed,851032_reviewed,1
853877_reviewed,854680_reviewed,1
853877_reviewed_mutant_381,854680_reviewed,0
850720_reviewed,855049_reviewed,1
850720_reviewed_mutant_383,855049_reviewed,0
850720_reviewed,850720_reviewed,1
850720_reviewed_mutant_384,850720_reviewed,0
850720_reviewed,850419_reviewed,1
850720_reviewed_mutant_385,850419_reviewed,0
850720_reviewed,850598_reviewed,1
850720_reviewed,854912_reviewed,1
850720_reviewed,853192_reviewed,1
850720_reviewed,853192_reviewed_mutant_388,0
850720_reviewed,854680_reviewed,1
850598_reviewed,856146_reviewed_mutant_390,0
850598_reviewed,855049_reviewed,1
850598_reviewed_mutant_391,855049_reviewed,0
850598_reviewed,853877_reviewed,1
850598_reviewed_mutant_392,853877_reviewed,0
850598_reviewed,850419_reviewed,1
850598_reviewed,850419_reviewed_mutant_393,0
850598_reviewed,850598_reviewed,1
850598_reviewed_mutant_394,850598_reviewed,0
850598_reviewed,854912_reviewed,1
850598_reviewed,854912_reviewed_mutant_395,0
850598_reviewed,851032_reviewed,1
850598_reviewed_mutant_396,851032_reviewed,0
850598_reviewed,854680_reviewed,1
850598_reviewed_mutant_397,854680_reviewed,0
854912_reviewed,855049_reviewed,1
854912_reviewed_mutant_398,855049_reviewed,0
854912_reviewed,854680_reviewed,1
854912_reviewed_mutant_399,854680_reviewed,0
853192_reviewed,856146_reviewed_mutant_400,0
853192_reviewed,855049_reviewed,1
853192_reviewed_mutant_401,855049_reviewed,0
853192_reviewed,855116_reviewed,1
853192_reviewed_mutant_402,855116_reviewed,0
853192_reviewed,850419_reviewed,1
853192_reviewed,850598_reviewed,1
853192_reviewed,854680_reviewed,1
853192_reviewed_mutant_405,854680_reviewed,0
853985_reviewed,854345_reviewed,1
853985_reviewed_mutant_406,854345_reviewed,0
853985_reviewed,855485_reviewed,1
853985_reviewed_mutant_408,855485_reviewed,0
853985_reviewed,856743_reviewed,1
853985_reviewed,856743_reviewed_mutant_409,0
856743_reviewed,855485_reviewed,1
856743_reviewed,855485_reviewed_mutant_410,0
856743_reviewed,856437_reviewed,1
856743_reviewed_mutant_411,856437_reviewed,0
856743_reviewed,856743_reviewed,1
856743_reviewed,856743_reviewed_mutant_412,0
856743_reviewed,852996_reviewed,1
856743_reviewed_mutant_413,852996_reviewed,0
852996_reviewed,853985_reviewed,1
852996_reviewed,853985_reviewed_mutant_414,0
852996_reviewed,852726_reviewed_mutant_415,0
852996_reviewed,850760_reviewed,1
852996_reviewed,850760_reviewed_mutant_416,0
852996_reviewed,855485_reviewed,1
852996_reviewed_mutant_417,855485_reviewed,0
852996_reviewed,856437_reviewed,1
852996_reviewed,856437_reviewed_mutant_418,0
852421_reviewed,852938_reviewed,1
852421_reviewed,854277_reviewed,1
852421_reviewed,854277_reviewed_mutant_420,0
852416_reviewed,852416_reviewed,1
852416_reviewed_mutant_421,852416_reviewed,0
852416_reviewed,854960_reviewed,1
852416_reviewed_mutant_422,854960_reviewed,0
852416_reviewed,853857_reviewed,1
852416_reviewed_mutant_423,853857_reviewed,0
852416_reviewed,852896_reviewed_mutant_424,0
853857_reviewed,854960_reviewed,1
853857_reviewed_mutant_425,854960_reviewed,0
853857_reviewed,853857_reviewed,1
853857_reviewed_mutant_426,853857_reviewed,0
851827_reviewed_mutant_431,854749_reviewed,0
851678_reviewed,851678_reviewed,1
851678_reviewed,851678_reviewed_mutant_433,0
851678_reviewed,852319_reviewed,1
851678_reviewed,852319_reviewed_mutant_434,0
851678_reviewed,850682_reviewed,1
851678_reviewed,850682_reviewed_mutant_435,0
851678_reviewed,853320_reviewed,1
851678_reviewed,853320_reviewed_mutant_436,0
856449_reviewed,856449_reviewed,1
856449_reviewed,856449_reviewed_mutant_437,0
853320_reviewed,856449_reviewed,1
853320_reviewed_mutant_438,856449_reviewed,0
854116_reviewed,854078_reviewed,1
854116_reviewed_mutant_439,854078_reviewed,0
854116_reviewed,854116_reviewed,1
854116_reviewed,854116_reviewed_mutant_440,0
854116_reviewed,850893_reviewed,1
854116_reviewed,850893_reviewed_mutant_441,0
850893_reviewed,850893_reviewed,1
850893_reviewed,850893_reviewed_mutant_442,0
852569_reviewed,853922_reviewed,1
852569_reviewed,853922_reviewed_mutant_444,0
852569_reviewed,852569_reviewed,1
852569_reviewed_mutant_445,852569_reviewed,0
851924_reviewed,855977_reviewed,1
851924_reviewed_mutant_446,855977_reviewed,0
851924_reviewed,851924_reviewed,1
851924_reviewed,851924_reviewed_mutant_448,0
853029_reviewed,852007_reviewed,1
853029_reviewed,852007_reviewed_mutant_449,0
853029_reviewed,853029_reviewed,1
853029_reviewed_mutant_450,853029_reviewed,0
856603_reviewed,852007_reviewed,1
856603_reviewed,852007_reviewed_mutant_451,0
856603_reviewed,856603_reviewed,1
856603_reviewed,856603_reviewed_mutant_452,0
851136_reviewed,851136_reviewed,1
851136_reviewed_mutant_453,851136_reviewed,0
852582_reviewed,852582_reviewed,1
852582_reviewed,852582_reviewed_mutant_454,0
854776_reviewed,854776_reviewed,1
854776_reviewed_mutant_456,854776_reviewed,0
854776_reviewed,852865_reviewed,1
854776_reviewed,854204_reviewed,1
854776_reviewed_mutant_459,854204_reviewed,0
854204_reviewed,852865_reviewed,1
854204_reviewed_mutant_462,852865_reviewed,0
854933_reviewed,854776_reviewed,1
854933_reviewed,854776_reviewed_mutant_463,0
854933_reviewed,852865_reviewed,1
854933_reviewed,852865_reviewed_mutant_465,0
854933_reviewed,854204_reviewed,1
854933_reviewed_mutant_466,854204_reviewed,0
853774_reviewed,854776_reviewed,1
853774_reviewed_mutant_467,854776_reviewed,0
854776_reviewed,850326_reviewed,1
854776_reviewed_mutant_469,850326_reviewed,0
853774_reviewed,853774_reviewed,1
856422_reviewed,856422_reviewed,1
856422_reviewed,856422_reviewed_mutant_471,0
856422_reviewed,856607_reviewed,1
856422_reviewed,850554_reviewed,1
856422_reviewed,850554_reviewed_mutant_473,0
856422_reviewed,850613_reviewed,1
856422_reviewed,850613_reviewed_mutant_474,0
856422_reviewed,854735_reviewed,1
856422_reviewed,854735_reviewed_mutant_475,0
856422_reviewed,856742_reviewed,1
856422_reviewed,856742_reviewed_mutant_476,0
856422_reviewed,851408_reviewed,1
856422_reviewed,851461_reviewed,1
856422_reviewed_mutant_478,851461_reviewed,0
856422_reviewed,854435_reviewed,1
856422_reviewed,854435_reviewed_mutant_479,0
856422_reviewed,852037_reviewed,1
856422_reviewed,852037_reviewed_mutant_480,0
856422_reviewed,853712_reviewed,1
856422_reviewed_mutant_481,853712_reviewed,0
856422_reviewed,851557_reviewed,1
856422_reviewed,851557_reviewed_mutant_482,0
856607_reviewed,850554_reviewed,1
856607_reviewed,850613_reviewed,1
856607_reviewed_mutant_487,850613_reviewed,0
856607_reviewed,854735_reviewed,1
856607_reviewed,854735_reviewed_mutant_488,0
856607_reviewed,856742_reviewed,1
856607_reviewed_mutant_489,856742_reviewed,0
856607_reviewed,851408_reviewed,1
856607_reviewed,851408_reviewed_mutant_490,0
856607_reviewed,851461_reviewed,1
856607_reviewed,851461_reviewed_mutant_491,0
856607_reviewed,856223_reviewed,1
856607_reviewed,856223_reviewed_mutant_492,0
856607_reviewed,852037_reviewed,1
856607_reviewed,852037_reviewed_mutant_493,0
856607_reviewed,853712_reviewed,1
856607_reviewed_mutant_494,853712_reviewed,0
856607_reviewed,852003_reviewed,1
856607_reviewed,852003_reviewed_mutant_495,0
851461_reviewed,850554_reviewed,1
851461_reviewed,850554_reviewed_mutant_497,0
851461_reviewed,851408_reviewed,1
851461_reviewed_mutant_498,851408_reviewed,0
851461_reviewed,856223_reviewed,1
851461_reviewed,856223_reviewed_mutant_499,0
851461_reviewed,854435_reviewed,1
851461_reviewed_mutant_500,854435_reviewed,0
851461_reviewed,852037_reviewed,1
851461_reviewed,852037_reviewed_mutant_501,0
