853048_reviewed	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850553_reviewed	chromosome organization
856870_reviewed	ascospore formation
853641_reviewed	cell division
852885_reviewed	chromatin remodeling
853364_reviewed	chromatin organization
854418_reviewed	DNA repair
851771_reviewed	box C/D snoRNP assembly
855841_reviewed	box C/D snoRNP assembly
851962_reviewed	chromatin organization
855616_reviewed	chromatin remodeling
856696_reviewed	DNA repair
856490_reviewed	chromatin remodeling
856463_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850982_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850652_reviewed	ribosomal large subunit assembly
853682_reviewed	nuclear division
855068_reviewed	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855335_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855890_reviewed	assembly of large subunit precursor of preribosome
856012_reviewed	assembly of large subunit precursor of preribosome
855664_reviewed	assembly of large subunit precursor of preribosome
856063_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
852995_reviewed	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
852767_reviewed	ribosomal large subunit biogenesis
856488_reviewed	maturation of 5.8S rRNA
853956_reviewed	assembly of large subunit precursor of preribosome
855730_reviewed	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
851660_reviewed	rRNA processing
856126_reviewed	assembly of large subunit precursor of preribosome
854446_reviewed	chromosome organization
856485_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855539_reviewed	DNA-templated DNA replication
856604_reviewed	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
853445_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
853064_reviewed	chromosome organization
853469_reviewed	protein import into peroxisome matrix
851720_reviewed	protein import into peroxisome matrix
853774_reviewed	coenzyme A biosynthetic process
853946_reviewed	coenzyme A biosynthetic process
854220_reviewed	coenzyme A biosynthetic process
853954_reviewed	mitochondrial tRNA 3'-end processing
853222_reviewed	apoptotic DNA fragmentation
855125_reviewed	carbohydrate metabolic process
850823_reviewed	U6 snRNA 3'-end processing
850837_reviewed	maturation of 5.8S rRNA
855500_reviewed	intronic box C/D snoRNA processing
855439_reviewed	intronic box C/D snoRNA processing
852560_reviewed	intronic box C/D snoRNA processing
851200_reviewed	intronic box C/D snoRNA processing
852918_reviewed	intronic box C/D snoRNA processing
856459_reviewed	intronic box C/D snoRNA processing
852089_reviewed	maturation of 5.8S rRNA
852749_reviewed	mRNA splicing, via spliceosome
853892_reviewed	spliceosomal complex disassembly
854985_reviewed	chromatin looping
856760_reviewed	chromatin looping
853056_reviewed	axial cellular bud site selection
850930_reviewed	actin filament organization
856723_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
854381_reviewed	ribosomal large subunit biogenesis
850688_reviewed	cell division
853271_reviewed	ascospore formation
856771_reviewed	microtubule severing
851549_reviewed	apoptotic process
851495_reviewed	cell division
853780_reviewed	ribosomal large subunit biogenesis
853029_reviewed	maturation of SSU-rRNA
855977_reviewed	maturation of SSU-rRNA
851924_reviewed	maturation of SSU-rRNA
856603_reviewed	maturation of SSU-rRNA
855118_reviewed	maturation of SSU-rRNA
851125_reviewed	maturation of SSU-rRNA
850820_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850422_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850919_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
853376_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
852060_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
852982_reviewed	maturation of SSU-rRNA
850326_reviewed	maturation of SSU-rRNA
854078_reviewed	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850304_reviewed	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850551_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
853860_reviewed	maturation of SSU-rRNA
855613_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
856863_reviewed	maturation of 5.8S rRNA
856449_reviewed	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850695_reviewed	assembly of large subunit precursor of preribosome
853181_reviewed	glutamyl-tRNA aminoacylation
852773_reviewed	glutamyl-tRNA aminoacylation
852606_reviewed	glutamyl-tRNA aminoacylation
853071_reviewed	cellular response to glucose starvation
852802_reviewed	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
856489_reviewed	snoRNA guided rRNA pseudouridine synthesis
851319_reviewed	box H/ACA snoRNP assembly
851313_reviewed	eukaryotic translation initiation factor 4F complex assembly
850894_reviewed	box C/D sno(s)RNA 3'-end processing
856746_reviewed	formation of translation preinitiation complex
851196_reviewed	cytosolic ribosome assembly
851632_reviewed	ribosomal large subunit assembly
854543_reviewed	cytoplasmic translational initiation
853397_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
851379_reviewed	nuclear mRNA surveillance of mRNA 3'-end processing
854034_reviewed	base-excision repair
854162_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
854079_reviewed	cytoskeleton organization
856249_reviewed	ERAD pathway
853347_reviewed	G1/S transition of mitotic cell cycle
851513_reviewed	cell division
850601_reviewed	G1/S transition of mitotic cell cycle
853899_reviewed	G1/S transition of mitotic cell cycle
850440_reviewed	cell division
852084_reviewed	mRNA splicing, via spliceosome
856307_reviewed	mRNA splicing, via spliceosome
852344_reviewed	mRNA splicing, via spliceosome
851548_reviewed	box C/D sno(s)RNA 3'-end processing
854379_reviewed	positive regulation of formation of translation preinitiation complex
852039_reviewed	formation of cytoplasmic translation initiation complex
856912_reviewed	mRNA 3'-end processing
854026_reviewed	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
856846_reviewed	mRNA transport
852042_reviewed	mRNA splicing, via spliceosome
856255_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
854138_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855489_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
856466_reviewed	CUT catabolic process
854023_reviewed	CUT catabolic process
851447_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
851874_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
852987_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
853109_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
854243_reviewed	nonfunctional rRNA decay
856481_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850401_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
853442_reviewed	termination of RNA polymerase III transcription
854382_reviewed	termination of RNA polymerase III transcription
853713_reviewed	termination of RNA polymerase III transcription
855737_reviewed	termination of RNA polymerase III transcription
856320_reviewed	termination of RNA polymerase III transcription
854283_reviewed	termination of RNA polymerase III transcription
853895_reviewed	termination of RNA polymerase III transcription
851404_reviewed	termination of RNA polymerase III transcription
855571_reviewed	termination of RNA polymerase III transcription
856226_reviewed	nucleolar large rRNA transcription by RNA polymerase I
855473_reviewed	nucleolar large rRNA transcription by RNA polymerase I
852451_reviewed	nucleolar large rRNA transcription by RNA polymerase I
856317_reviewed	nucleolar large rRNA transcription by RNA polymerase I
854791_reviewed	RNA-templated transcription
853301_reviewed	DNA-templated transcription initiation
852013_reviewed	DNA-templated transcription initiation
853293_reviewed	nucleolar large rRNA transcription by RNA polymerase I
856119_reviewed	nucleolar large rRNA transcription by RNA polymerase I
854518_reviewed	nucleolar large rRNA transcription by RNA polymerase I
855161_reviewed	ribosome biogenesis
854229_reviewed	cytoplasmic translation
855925_reviewed	mRNA 3'-end processing
855155_reviewed	7-methylguanosine mRNA capping
851716_reviewed	DNA recombination
851475_reviewed	mRNA 3'-end processing
854940_reviewed	DNA recombination
856572_reviewed	cellular response to azide
855468_reviewed	mRNA export from nucleus
855116_reviewed	chromatin remodeling
856146_reviewed	chromatin organization
855049_reviewed	chromatin organization
851071_reviewed	chromatin remodeling
851897_reviewed	chromatin remodeling
853877_reviewed	chromatin remodeling
850720_reviewed	chromatin remodeling
850419_reviewed	chromatin remodeling
850598_reviewed	chromatin remodeling
854912_reviewed	chromatin remodeling
851032_reviewed	CENP-A containing chromatin assembly
854680_reviewed	base-excision repair
853192_reviewed	chromatin remodeling
853985_reviewed	negative regulation of transcription by RNA polymerase II
854345_reviewed	cellular response to heat
852726_reviewed	positive regulation of transcription elongation by RNA polymerase II
855485_reviewed	cellular response to heat
856743_reviewed	cellular response to heat
856437_reviewed	cellular response to nutrient levels
852996_reviewed	cellular response to heat
850760_reviewed	negative regulation of transcription by RNA polymerase II
852421_reviewed	5S class rRNA transcription by RNA polymerase III
852938_reviewed	5S class rRNA transcription by RNA polymerase III
854277_reviewed	5S class rRNA transcription by RNA polymerase III
852416_reviewed	mRNA 5'-splice site recognition
854960_reviewed	mRNA 5'-splice site recognition
853857_reviewed	mRNA 5'-splice site recognition
852896_reviewed	mRNA 5'-splice site recognition
851821_reviewed	mRNA 5'-splice site recognition
851827_reviewed	mRNA 5'-splice site recognition
854749_reviewed	mRNA 5'-splice site recognition
851678_reviewed	proteolysis
852319_reviewed	cytoplasmic translation
850682_reviewed	cytoplasmic translation
853320_reviewed	ribosomal large subunit biogenesis
854116_reviewed	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850893_reviewed	rRNA processing
853160_reviewed	protein transport
853922_reviewed	budding cell bud growth
852569_reviewed	budding cell bud growth
852007_reviewed	maturation of SSU-rRNA
856422_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
856607_reviewed	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
850554_reviewed	mitochondrial fission
850613_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
854735_reviewed	proteasome assembly
856742_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
851408_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
851461_reviewed	proteasome assembly
854435_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
852037_reviewed	proteasome assembly
853712_reviewed	positive regulation of protein catabolic process
851557_reviewed	nonfunctional rRNA decay
852003_reviewed	positive regulation of RNA polymerase II transcription preinitiation complex assembly
852834_reviewed	chromatin remodeling
850562_reviewed	mitochondria-associated ubiquitin-dependent protein catabolic process
856223_reviewed	proteasome-mediated ubiquitin-dependent protein catabolic process
855357_reviewed	formation of cytoplasmic translation initiation complex
852371_reviewed	formation of cytoplasmic translation initiation complex
856154_reviewed	cytosolic ribosome assembly
850889_reviewed	cytoplasmic translation
855177_reviewed	cytoplasmic translational initiation
851665_reviewed	positive regulation of translation
854434_reviewed	cytoplasmic translational initiation
852974_reviewed	cytoplasmic translational initiation
851797_reviewed	cytoplasmic translational initiation
850998_reviewed	cytoplasmic translational initiation
855838_reviewed	formation of translation preinitiation complex
851061_reviewed	import into nucleus
855532_reviewed	import into nucleus
855461_reviewed	protein maturation
853806_reviewed	mRNA processing
850806_reviewed	mRNA processing
851255_reviewed	mRNA processing
850983_reviewed	mRNA processing
851895_reviewed	mRNA processing
855399_reviewed	mRNA 3'-end processing
851776_reviewed	mRNA 3'-end processing
855499_reviewed	mRNA 3'-end processing
851152_reviewed	GMP biosynthetic process
856626_reviewed	GMP biosynthetic process
854948_reviewed	GMP biosynthetic process
853083_reviewed	cytoplasmic translation
851730_reviewed	cellular response to amino acid starvation
851887_reviewed	cell division
856218_reviewed	proteasomal ubiquitin-independent protein catabolic process
856731_reviewed	proteasomal ubiquitin-independent protein catabolic process
854544_reviewed	proteasomal ubiquitin-independent protein catabolic process
853456_reviewed	proteasomal ubiquitin-independent protein catabolic process
855362_reviewed	proteasomal ubiquitin-independent protein catabolic process
854119_reviewed	proteasomal ubiquitin-independent protein catabolic process
852239_reviewed	proteasomal ubiquitin-independent protein catabolic process
854882_reviewed	proteasomal ubiquitin-independent protein catabolic process
853036_reviewed	proteasomal ubiquitin-independent protein catabolic process
854328_reviewed	proteasomal ubiquitin-independent protein catabolic process
853168_reviewed	proteasomal ubiquitin-independent protein catabolic process
852873_reviewed	proteasomal ubiquitin-independent protein catabolic process
851963_reviewed	protein export from nucleus
855893_reviewed	methylation
851212_reviewed	DNA replication
855788_reviewed	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
855158_reviewed	maturation of SSU-rRNA
852755_reviewed	negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
852305_reviewed	exit from mitosis
855104_reviewed	cytoplasmic RNA surveillance
853385_reviewed	mRNA export from nucleus
852107_reviewed	negative regulation of translation
854152_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855884_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855280_reviewed	box C/D sno(s)RNA processing
851509_reviewed	tRNA processing
855833_reviewed	SRP-dependent cotranslational protein targeting to membrane
855891_reviewed	SRP-dependent cotranslational protein targeting to membrane
854732_reviewed	threonyl-tRNA aminoacylation
851752_reviewed	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
852440_reviewed	cytoplasmic translational termination
855919_reviewed	endocytic recycling
852353_reviewed	cytoplasmic translation
853099_reviewed	protein folding
852538_reviewed	7-methylguanosine mRNA capping
854999_reviewed	chromatin remodeling
856310_reviewed	DNA damage response
854068_reviewed	amino acid catabolic process to alcohol via Ehrlich pathway
851998_reviewed	protein sumoylation
850818_reviewed	anaphase-promoting complex-dependent catabolic process
853846_reviewed	anaphase-promoting complex-dependent catabolic process
856571_reviewed	anaphase-promoting complex-dependent catabolic process
852194_reviewed	anaphase-promoting complex-dependent catabolic process
852425_reviewed	autophagy
855983_reviewed	autophagosome assembly
853723_reviewed	Golgi to vacuole transport
856141_reviewed	Golgi to vacuole transport
855869_reviewed	Golgi to vacuole transport
856367_reviewed	Golgi to vacuole transport
850868_reviewed	Golgi to vacuole transport
852243_reviewed	clathrin-dependent endocytosis
853461_reviewed	endocytosis
854092_reviewed	clathrin-dependent endocytosis
855906_reviewed	Golgi to vacuole transport
853177_reviewed	Golgi to vacuole transport
852591_reviewed	endocytosis
853429_reviewed	Golgi to vacuole transport
854748_reviewed	actin cortical patch organization
851085_reviewed	actin cortical patch organization
853856_reviewed	actin cortical patch organization
855771_reviewed	actin cortical patch organization
853528_reviewed	actin cortical patch organization
851532_reviewed	actin cortical patch organization
852536_reviewed	actin cortical patch organization
853327_reviewed	cellular response to stress
855950_reviewed	deoxyribonucleoside triphosphate biosynthetic process
851488_reviewed	chromatin remodeling
851115_reviewed	chromatin remodeling
852499_reviewed	cell morphogenesis involved in conjugation with cellular fusion
856850_reviewed	actin filament organization
851190_reviewed	cellular bud site selection
853942_reviewed	cellular response to nitrogen starvation
854898_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
851686_reviewed	autophagosome assembly
853076_reviewed	beta-glucan biosynthetic process
852016_reviewed	early endosome to Golgi transport
855258_reviewed	cytoplasm to vacuole targeting by the Cvt pathway
852556_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
851833_reviewed	chromosome organization
852083_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
854282_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
853421_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
856306_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
851676_reviewed	ascospore formation
856924_reviewed	aggresome assembly
851564_reviewed	cellular response to desiccation
855454_reviewed	cellular response to nitrogen starvation
852640_reviewed	maintenance of DNA trinucleotide repeats
850763_reviewed	ribosomal large subunit export from nucleus
850435_reviewed	protein-RNA complex remodeling
855789_reviewed	regulation of ribosomal subunit export from nucleus
853862_reviewed	actin cytoskeleton organization
854777_reviewed	actin cytoskeleton organization
854819_reviewed	mitochondrion migration along actin filament
851471_reviewed	mRNA 5'-splice site recognition
855911_reviewed	antisense RNA transcript catabolic process
856486_reviewed	mRNA 5'-splice site recognition
855470_reviewed	antisense RNA transcript catabolic process
854956_reviewed	mRNA splicing, via spliceosome
852833_reviewed	cellular response to glucose starvation
850298_reviewed	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
856136_reviewed	cellular response to nitrogen starvation
851450_reviewed	7-methylguanosine mRNA capping
852071_reviewed	DNA repair
853035_reviewed	nuclear-transcribed mRNA poly(A) tail shortening
855428_reviewed	negative regulation of translation
852457_reviewed	7-methylguanosine mRNA capping
855239_reviewed	cell division
855819_reviewed	cell division
851024_reviewed	cellular bud neck septin ring organization
850358_reviewed	cellular bud neck septin ring organization
853539_reviewed	actomyosin contractile ring assembly
856507_reviewed	cellular bud neck septin ring organization
851373_reviewed	actomyosin contractile ring assembly
851389_reviewed	deadenylation-dependent decapping of nuclear-transcribed mRNA
856186_reviewed	deadenylation-dependent decapping of nuclear-transcribed mRNA
851431_reviewed	ATP metabolic process
852468_reviewed	cytoplasm protein quality control by the ubiquitin-proteasome system
852222_reviewed	ascospore formation
852939_reviewed	cytoplasm protein quality control by the ubiquitin-proteasome system
851618_reviewed	ERAD pathway
852685_reviewed	achiasmate meiosis I
855136_reviewed	actin cortical patch localization
851421_reviewed	G1/S transition of mitotic cell cycle
851339_reviewed	G1/S transition of mitotic cell cycle
851217_reviewed	meiotic sister chromatid cohesion, centromeric
855316_reviewed	cell wall organization
854931_reviewed	establishment of cell polarity
851530_reviewed	assembly of large subunit precursor of preribosome
852779_reviewed	protein transport
856719_reviewed	ribosomal large subunit biogenesis
855332_reviewed	mRNA splicing, via spliceosome
855745_reviewed	generation of catalytic spliceosome for first transesterification step
856732_reviewed	generation of catalytic spliceosome for second transesterification step
850427_reviewed	cellular bud site selection
852747_reviewed	7-methylguanosine mRNA capping
855873_reviewed	7-methylguanosine mRNA capping
853871_reviewed	mRNA 3'-end processing
855083_reviewed	mRNA 3'-end processing
853060_reviewed	mRNA 3'-end processing
852547_reviewed	chromatin remodeling
855208_reviewed	cellular response to osmotic stress
853186_reviewed	CENP-A containing chromatin assembly
854424_reviewed	mRNA 3'-end processing
851814_reviewed	mRNA 3'-end processing
852838_reviewed	mRNA 3'-end processing
852452_reviewed	protein folding
851410_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
850612_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
856097_reviewed	intra-Golgi vesicle-mediated transport
855429_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
851824_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
854734_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
852235_reviewed	aerobic respiration
856321_reviewed	aerobic respiration
851733_reviewed	ascospore formation
852399_reviewed	cellular response to starvation
850399_reviewed	cellular response to starvation
854694_reviewed	cellular response to starvation
853062_reviewed	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855102_reviewed	DNA replication initiation
856305_reviewed	DNA-templated DNA replication
855426_reviewed	DNA damage checkpoint signaling
854059_reviewed	DNA damage checkpoint signaling
852383_reviewed	DNA damage checkpoint signaling
853718_reviewed	DNA damage response
853450_reviewed	DNA damage response
854928_reviewed	DNA damage response
855281_reviewed	mRNA splicing, via spliceosome
851518_reviewed	mRNA splicing, via spliceosome
853227_reviewed	mRNA cis splicing, via spliceosome
855605_reviewed	deadenylation-dependent decapping of nuclear-transcribed mRNA
854016_reviewed	deadenylation-dependent decapping of nuclear-transcribed mRNA
854883_reviewed	cytoplasmic translation
856700_reviewed	cellular response to glucose starvation
853667_reviewed	double-strand break repair via nonhomologous end joining
852611_reviewed	anaphase-promoting complex-dependent catabolic process
851699_reviewed	chromatin remodeling
852580_reviewed	DNA-templated DNA replication
851240_reviewed	ribosomal large subunit export from nucleus
855356_reviewed	mRNA export from nucleus
852004_reviewed	mRNA export from nucleus
852233_reviewed	actin cortical patch organization
850396_reviewed	actin cortical patch assembly
851949_reviewed	endocytosis
853114_reviewed	protein transport
856019_reviewed	regulation of translation
856594_reviewed	regulation of translation
851100_reviewed	protein transport
856002_reviewed	regulation of transcription by RNA polymerase II
852549_reviewed	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850883_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
856553_reviewed	maturation of SSU-rRNA
855649_reviewed	maturation of SSU-rRNA
856815_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
855591_reviewed	maturation of SSU-rRNA
853714_reviewed	ATP export
853458_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
851407_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850649_reviewed	maturation of SSU-rRNA
851499_reviewed	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
852972_reviewed	maturation of SSU-rRNA
854221_reviewed	maturation of SSU-rRNA
856095_reviewed	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
856267_reviewed	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
850520_reviewed	chromatin remodeling
850504_reviewed	ascospore wall assembly
856134_reviewed	DNA repair
851264_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
852675_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
851226_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
854997_reviewed	endoplasmic reticulum to Golgi vesicle-mediated transport
855005_reviewed	cellular response to oxidative stress
852398_reviewed	exocyst assembly
850863_reviewed	exocytosis
856726_reviewed	endoplasmic reticulum inheritance
851744_reviewed	endoplasmic reticulum inheritance
854742_reviewed	exocyst localization
856168_reviewed	endoplasmic reticulum inheritance
853555_reviewed	mRNA processing
850749_reviewed	phenylalanyl-tRNA aminoacylation
850522_reviewed	phenylalanyl-tRNA aminoacylation
852506_reviewed	endocytosis
